,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,Packet_payload
0,2,7296,3461,3461,5598,28,1005,69,1086,6273,3461,3461,3461,3461,4062,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,5472,9461,5472,26,1005,9547,26,1025,8096,3461,3226,4312,71,1092,71,1087,23,1053,70,1086,6573,69,1006,74,1062,5752,25,1005,3461,5752,6741,11337,72,1060,15050,72,1066,8562,70,1077,11996,26,1005,10790,10143,11996,26,1031,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43 00 00 01 8d a2 03 00 00 00 00 40 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 70 68 70 6d 69 6e 64 00 14 ab c5 c8 3b b2 37 aa f6 ef 5d 00 ef 75 92 d9 91 df eb b1 71 6d 79 73 71 6c 00
1,2,6957,3461,3461,5598,28,1005,69,1086,6273,3461,3461,3461,3461,4062,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,26,1005,10790,10143,11996,26,1031,8096,3461,3226,7296,7296,8822,21,1005,7296,27,1005,10879,5351,9740,74,1092,70,1119,71,1053,23,1053,72,1092,6552,29,1025,11996,20,1066,7383,10920,26,1005,10790,10143,11996,26,1031,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42 00 00 01 8d a2 03 00 00 00 00 40 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6d 79 73 71 6c 64 00 14 43 43 85 1d 43 7d 87 80 77 f5 b4 cb 3b d5 04 9e 71 0f 41 97 6d 79 73 71 6c 00
2,2,7296,3461,3461,5598,28,1005,69,1086,6273,3461,3461,3461,3461,4062,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,5472,9461,5472,26,1005,9547,26,1025,8096,3461,3226,7296,7296,8822,21,1005,7296,27,1005,10879,5351,9740,74,1092,70,1119,71,1053,23,1053,72,1092,6552,29,1025,11996,20,1066,7383,10920,26,1005,10790,10143,11996,26,1031,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43 00 00 01 8d a2 03 00 00 00 00 40 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 70 68 70 6d 69 6e 64 00 14 43 43 85 1d 43 7d 87 80 77 f5 b4 cb 3b d5 04 9e 71 0f 41 97 6d 79 73 71 6c 00
3,2,7383,3461,3461,5598,28,1005,69,1086,6273,3461,3461,3461,3461,4062,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,26,1005,10790,10143,11996,26,1031,3461,3226,7296,7296,8822,21,1005,7296,27,1005,10879,5351,9740,74,1092,70,1119,71,1053,23,1053,72,1092,6552,29,1025,11996,20,1066,7383,10920,26,1005,10790,10143,11996,26,1031,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41 00 00 01 8d a2 03 00 00 00 00 40 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6d 79 73 71 6c 00 14 43 43 85 1d 43 7d 87 80 77 f5 b4 cb 3b d5 04 9e 71 0f 41 97 6d 79 73 71 6c 00
4,2,7383,3461,3461,5598,28,1005,69,1086,6273,3461,3461,3461,3461,4062,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,9417,8096,26,1005,9547,26,1025,3461,3226,7296,7296,8822,21,1005,7296,27,1005,10879,5351,9740,74,1092,70,1119,71,1053,23,1053,72,1092,6552,29,1025,11996,20,1066,7383,10920,26,1005,10790,10143,11996,26,1031,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41 00 00 01 8d a2 03 00 00 00 00 40 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 61 64 6d 69 6e 00 14 43 43 85 1d 43 7d 87 80 77 f5 b4 cb 3b d5 04 9e 71 0f 41 97 6d 79 73 71 6c 00
5,2,6957,3461,3461,5598,28,1005,69,1086,6273,3461,3461,3461,3461,4062,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,26,1005,10790,10143,11996,26,1031,8096,3461,3226,23,1053,72,1119,71,1087,74,1053,9461,20,1031,9547,6430,70,1087,71,1053,22,1006,24,1005,73,1077,7923,3461,70,1062,24,1005,5695,26,1006,5946,26,1005,10790,10143,11996,26,1031,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42 00 00 01 8d a2 03 00 00 00 00 40 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6d 79 73 71 6c 64 00 14 3b d4 c8 fb 68 0c 69 06 b8 cb 2a 4d e1 58 00 b6 4d 32 6a 33 6d 79 73 71 6c 00
6,2,23,1053,3461,3461,5598,10879,69,1086,6494,3461,74,1066,74,1066,74,1066,3461,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,9257,26,1066,26,1066,10153,3461,3226,7500,25,1066,5577,4550,6957,74,1086,74,1061,23,1053,24,1006,72,1062,28,1025,71,1086,10878,29,1031,11102,8818,10309,7969,72,1087,11996,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3b 00 00 01 87 a2 07 00 ff ff ff 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 72 6f 6f 74 00 14 54 5f 36 29 42 f2 f0 3b 4a d6 8e c2 88 9c 84 66 78 56 d8 71 00
7,2,4062,3461,3461,5598,28,1005,69,1086,6273,3461,3461,3461,3461,4062,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,9257,26,1066,26,1066,10153,3461,3226,4312,71,1092,71,1087,23,1053,70,1086,6573,69,1006,74,1062,5752,25,1005,3461,5752,6741,11337,72,1060,15050,72,1066,8562,70,1077,11996,26,1005,10790,10143,11996,26,1031,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40 00 00 01 8d a2 03 00 00 00 00 40 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 72 6f 6f 74 00 14 ab c5 c8 3b b2 37 aa f6 ef 5d 00 ef 75 92 d9 91 df eb b1 71 6d 79 73 71 6c 00
8,2,4062,3461,3461,5598,28,1005,69,1086,6273,3461,3461,3461,3461,4062,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,9257,26,1066,26,1066,10153,3461,3226,23,1053,72,1119,71,1087,74,1053,9461,20,1031,9547,6430,70,1087,71,1053,22,1006,24,1005,73,1077,7923,3461,70,1062,24,1005,5695,26,1006,5946,26,1005,10790,10143,11996,26,1031,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40 00 00 01 8d a2 03 00 00 00 00 40 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 72 6f 6f 74 00 14 3b d4 c8 fb 68 0c 69 06 b8 cb 2a 4d e1 58 00 b6 4d 32 6a 33 6d 79 73 71 6c 00
9,2,7383,3461,3461,5598,28,1005,69,1086,6273,3461,3461,3461,3461,4062,6199,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,9417,8096,26,1005,9547,26,1025,3461,3226,4312,71,1092,71,1087,23,1053,70,1086,6573,69,1006,74,1062,5752,25,1005,3461,5752,6741,11337,72,1060,15050,72,1066,8562,70,1077,11996,26,1005,10790,10143,11996,26,1031,3461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41 00 00 01 8d a2 03 00 00 00 00 40 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 61 64 6d 69 6e 00 14 ab c5 c8 3b b2 37 aa f6 ef 5d 00 ef 75 92 d9 91 df eb b1 71 6d 79 73 71 6c 00
