,0,1
0,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 30 37 31 34 0d 0a,TA0002 T1059 T1059.004
1,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 38 30 33 30 0d 0a,TA0002 T1059 T1059.004
2,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 31 33 33 36 0d 0a,TA0002 T1059 T1059.004
3,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 34 31 32 38 0d 0a,TA0002 T1059 T1059.004
4,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 32 36 35 37 0d 0a,TA0002 T1059 T1059.004
5,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 33 37 37 30 0d 0a,TA0002 T1059 T1059.004
6,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 30 36 33 34 0d 0a,TA0002 T1059 T1059.004
7,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 31 32 31 30 0d 0a,TA0002 T1059 T1059.004
8,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 33 35 33 34 0d 0a,TA0002 T1059 T1059.004
9,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 34 32 35 35 0d 0a,TA0002 T1059 T1059.004
10,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 30 38 38 33 0d 0a,TA0002 T1059 T1059.004
11,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 34 38 31 36 0d 0a,TA0002 T1059 T1059.004
12,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 34 32 33 32 0d 0a,TA0002 T1059 T1059.004
13,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 36 30 32 33 0d 0a,TA0002 T1059 T1059.004
14,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 37 37 33 37 0d 0a,TA0002 T1059 T1059.004
15,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 35 33 37 36 0d 0a,TA0002 T1059 T1059.004
16,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 30 37 36 32 0d 0a,TA0002 T1059 T1059.004
17,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 32 34 37 37 0d 0a,TA0002 T1059 T1059.004
18,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 33 35 36 33 0d 0a,TA0002 T1059 T1059.004
19,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 38 34 37 37 0d 0a,TA0002 T1059 T1059.004
20,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 32 34 33 37 0d 0a,TA0002 T1059 T1059.004
21,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 34 37 38 37 0d 0a,TA0002 T1059 T1059.004
22,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 38 35 38 36 0d 0a,TA0002 T1059 T1059.004
23,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 32 37 33 36 0d 0a,TA0002 T1059 T1059.004
24,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 38 37 38 32 0d 0a,TA0002 T1059 T1059.004
25,2e 2e 0d 0a 6c 69 6e 75 78 73 68 65 6c 6c 0d 0a 73 68 65 6c 6c 0d 0a 65 6e 61 62 6c 65 0d 0a 73 79 73 74 65 6d 0d 0a 68 6f 73 74 6e 61 6d 65 20 53 45 46 41 5f 49 44 3a 33 38 33 35 0d 0a,TA0002 T1059 T1059.004
